id,period,metric_name,value,variance_pct,computed_at
ID-0001,week,close_cycle_days,125.76,4.8,2026-05-31
ID-0002,month,auto_certified_accounts,143.58,4.8,2026-05-31
ID-0003,quarter,reconciliation_exception_rate,161.39,4.8,2026-05-31
ID-0004,week,working_capital_forecast_accuracy,179.21,4.8,2026-05-31
ID-0005,quarter,trado considero sollicito,53727.57,17.71,2024-02-05
ID-0006,month,cena adficio defleo,89097.39,6.95,2024-12-29
ID-0007,quarter,ascit stultus sperno,97995.55,48.56,2024-02-14
ID-0008,day,theologus amissio termes,91019.62,-11.72,2023-10-14
ID-0009,week,debitis colo tempus,93617.66,44.08,2021-01-18
ID-0010,quarter,tabula casus aegre,26799.72,41.22,2023-10-19
ID-0011,month,cauda super ad,37532.13,12.68,2020-11-16
ID-0012,quarter,canonicus solio cultellus,59604.36,-39.26,2020-02-07
ID-0013,quarter,centum totus xiphias,21143.12,-23.49,2023-12-23
ID-0014,quarter,veritas desolo theatrum,13574.58,47.75,2025-10-14
ID-0015,day,coepi amaritudo cernuus,81595.58,-12.17,2020-07-12
ID-0016,week,vomica quod cupressus,16653.85,48.62,2024-12-04
ID-0017,week,aegrus adstringo animi,58076.86,42.88,2022-12-24
ID-0018,quarter,decumbo suggero synagoga,17396.37,-13.88,2023-10-28
ID-0019,day,conturbo facere vulnus,47453.36,31.61,2022-08-05
ID-0020,quarter,pariatur valde cunctatio,60430.44,13,2022-07-03
ID-0021,day,aliquid acceptus uterque,23647.49,-28.85,2024-06-01
ID-0022,week,dicta ascisco vitiosus,85158.14,36.38,2022-06-10
ID-0023,quarter,arbitro absorbeo accusantium,58660.17,-4.46,2023-02-09
ID-0024,day,curo supellex decipio,73221.92,-26.7,2024-11-17
ID-0025,month,bene capillus quisquam,82993.96,-8.44,2021-07-20
ID-0026,quarter,sortitus dedico depopulo,20425.64,12.68,2022-02-25
ID-0027,quarter,denego depereo maxime,91675.6,30.08,2022-09-15
ID-0028,month,occaecati deprimo aurum,46393.63,-25.42,2025-06-28
ID-0029,week,viridis expedita quos,54294.04,-37.07,2022-04-03
ID-0030,day,qui dedecor tergo,22047.05,-33.55,2022-06-09
ID-0031,quarter,sulum curatio ea,8421.3,48.46,2023-12-31
ID-0032,week,occaecati amo vociferor,17478.5,14.8,2021-06-22
ID-0033,month,tergiversatio speculum porro,89246.91,-42.14,2021-12-26
ID-0034,day,voveo cribro synagoga,68472.52,-28.79,2021-06-07
ID-0035,week,cunctatio canonicus accusantium,87939.31,46.57,2022-01-18
ID-0036,week,absens sponte tremo,14660.83,-34.04,2024-09-27
ID-0037,month,adinventitias quasi colligo,36872.51,26.98,2024-11-12
ID-0038,week,vinitor cum ter,48387.73,39.76,2025-06-12
ID-0039,day,video tremo textilis,20091.13,30.51,2025-02-06
ID-0040,week,viridis admiratio architecto,53758.11,7.58,2023-11-15
ID-0041,day,vitium adinventitias aranea,1401.45,6.69,2025-08-05
ID-0042,month,traho abutor id,45956.3,-0.1,2020-06-07
ID-0043,month,desolo teneo deorsum,14938.16,14.83,2021-01-12
ID-0044,quarter,placeat ars vivo,51836.55,-42.71,2023-10-06
ID-0045,week,thymbra toties volutabrum,50186.95,-4.5,2024-07-09
ID-0046,day,incidunt in alii,41798.41,35.33,2025-02-19
ID-0047,day,alioqui celebrer utilis,12890.25,22,2020-08-09
ID-0048,month,constans testimonium canis,63920.18,-26.43,2024-04-13
ID-0049,quarter,antepono usitas optio,12711.05,-7.25,2020-12-18
ID-0050,month,tempore amiculum dicta,81462.51,43.62,2023-01-30
ID-0051,quarter,facilis cruentus ubi,49298.27,-2.81,2022-12-10
ID-0052,quarter,tristis culpo concedo,49192.8,7.28,2021-06-06
ID-0053,quarter,depereo concido amissio,23884.51,44.93,2021-10-30
ID-0054,day,degusto cohibeo adeptio,32314.52,4.41,2023-04-24
ID-0055,week,dedecor vociferor cotidie,25822.68,-25.66,2022-09-30
ID-0056,quarter,basium sui acer,41893.3,27.59,2022-01-12
ID-0057,month,bardus talis admoveo,85254.27,-30.18,2025-03-31
ID-0058,week,suppono comis ventus,12663.71,-32.15,2022-12-16
ID-0059,day,autus villa voluptatibus,37625.93,42.33,2023-04-09
ID-0060,week,subvenio soluta vox,26504.73,17.21,2020-04-24
