id,period,metric_name,value,variance_pct,computed_at,historical_metric_id
ID-0001,week,close_cycle_days,101.88,-15.1,2026-05-25,ID-0001
ID-0002,month,auto_certified_accounts,128.23,-6.4,2026-05-26,ID-0002
ID-0003,quarter,reconciliation_exception_rate,158.16,2.7,2026-05-27,ID-0003
ID-0004,week,working_capital_forecast_accuracy,190.32,11.3,2026-05-28,ID-0004
ID-0005,month,surgo placeat cura,159.61,-15.1,2026-05-29,ID-0005
ID-0006,quarter,cotidie tollo votum,191.88,-6.4,2026-05-30,ID-0006
ID-0007,week,turbo tum delicate,227.99,2.7,2026-05-25,ID-0007
ID-0008,month,torqueo xiphias vulnus,266.01,11.3,2026-05-26,ID-0008
ID-0009,quarter,carmen defendo aperio,217.34,-15.1,2026-05-27,ID-0009
ID-0010,week,quae contabesco amplitudo,255.53,-6.4,2026-05-28,ID-0010
ID-0011,month,ulterius ipsam laudantium,297.83,2.7,2026-05-29,ID-0011
ID-0012,quarter,temeritas quam succurro,341.69,11.3,2026-05-30,ID-0012
ID-0013,week,officia cruciamentum debitis,275.08,-15.1,2026-05-25,ID-0013
ID-0014,month,crux quasi unus,319.18,-6.4,2026-05-26,ID-0014
ID-0015,quarter,causa degenero vomer,367.67,2.7,2026-05-27,ID-0015
ID-0016,week,aestivus aperiam antiquus,417.38,11.3,2026-05-28,ID-0016
ID-0017,month,coniuratio vel demitto,332.81,-15.1,2026-05-29,ID-0017
ID-0018,quarter,asporto cibo atqui,382.82,-6.4,2026-05-30,ID-0018
ID-0019,week,convoco desolo strues,437.5,2.7,2026-05-25,ID-0019
ID-0020,month,uterque verumtamen aduro,493.06,11.3,2026-05-26,ID-0020
ID-0021,quarter,bellum correptius deorsum,390.54,-15.1,2026-05-27,ID-0021
ID-0022,week,adfectus casus summisse,446.47,-6.4,2026-05-28,ID-0022
ID-0023,month,dedecor expedita carcer,507.34,2.7,2026-05-29,ID-0023
ID-0024,quarter,beneficium complectus animadverto,568.74,11.3,2026-05-30,ID-0024
ID-0025,week,deripio aiunt fuga,448.27,-15.1,2026-05-25,ID-0025
ID-0026,month,ciminatio conventus sint,510.12,-6.4,2026-05-26,ID-0026
ID-0027,quarter,capillus ambitus argumentum,577.17,2.7,2026-05-27,ID-0027
ID-0028,week,atavus vel aggero,644.43,11.3,2026-05-28,ID-0028
ID-0029,month,cubicularis volubilis uredo,506,-15.1,2026-05-29,ID-0029
ID-0030,quarter,vetus iusto mollitia,573.77,-6.4,2026-05-30,ID-0030
ID-0031,week,cursim distinctio carcer,647.01,2.7,2026-05-25,ID-0031
ID-0032,month,arma denique expedita,720.11,11.3,2026-05-26,ID-0032
ID-0033,quarter,vox commodi tollo,563.74,-15.1,2026-05-27,ID-0033
ID-0034,week,demens cupiditas conscendo,637.42,-6.4,2026-05-28,ID-0034
ID-0035,month,suus vigilo attonbitus,716.85,2.7,2026-05-29,ID-0035
ID-0036,quarter,apud theatrum baiulus,795.79,11.3,2026-05-30,ID-0036
ID-0037,week,eos contego utpote,621.47,-15.1,2026-05-25,ID-0037
ID-0038,month,delectatio cogito tametsi,701.06,-6.4,2026-05-26,ID-0038
ID-0039,quarter,illum ventus quia,786.68,2.7,2026-05-27,ID-0039
ID-0040,week,apud thalassinus quam,871.48,11.3,2026-05-28,ID-0040
ID-0041,month,color carpo tam,679.2,-15.1,2026-05-29,ID-0041
ID-0042,quarter,congregatio trado amor,764.71,-6.4,2026-05-30,ID-0042
ID-0043,week,architecto calculus suppono,856.52,2.7,2026-05-25,ID-0043
ID-0044,month,caste coniuratio attonbitus,947.16,11.3,2026-05-26,ID-0044
ID-0045,quarter,vinitor arguo occaecati,736.93,-15.1,2026-05-27,ID-0045
ID-0046,week,vicissitudo maiores subito,828.36,-6.4,2026-05-28,ID-0046
ID-0047,month,pectus curriculum tabgo,926.35,2.7,2026-05-29,ID-0047
ID-0048,quarter,vorax tumultus ante,1022.85,11.3,2026-05-30,ID-0048
ID-0049,week,cubitum adopto conculco,794.66,-15.1,2026-05-25,ID-0049
ID-0050,month,fuga verto coniuratio,892.01,-6.4,2026-05-26,ID-0050
ID-0051,quarter,defero aqua atqui,996.19,2.7,2026-05-27,ID-0051
ID-0052,week,nobis ratione abutor,1098.53,11.3,2026-05-28,ID-0052
ID-0053,month,cuppedia ait vulnus,852.4,-15.1,2026-05-29,ID-0053
ID-0054,quarter,bellum velociter bardus,955.66,-6.4,2026-05-30,ID-0054
ID-0055,week,aedificium terga defessus,1066.03,2.7,2026-05-25,ID-0055
ID-0056,month,armarium attonbitus universe,1174.21,11.3,2026-05-26,ID-0056
ID-0057,quarter,cunabula acies armarium,910.13,-15.1,2026-05-27,ID-0057
ID-0058,week,callide spectaculum accusantium,1019.3,-6.4,2026-05-28,ID-0058
ID-0059,month,capio alveus carcer,1135.86,2.7,2026-05-29,ID-0059
ID-0060,quarter,sordeo bardus clarus,1249.9,11.3,2026-05-30,ID-0060
