id,period,metric_name,value,variance_pct,computed_at
ID-0001,week,close_cycle_days,125.76,4.8,2026-05-31
ID-0002,month,auto_certified_accounts,143.58,4.8,2026-05-31
ID-0003,quarter,reconciliation_exception_rate,161.39,4.8,2026-05-31
ID-0004,week,working_capital_forecast_accuracy,179.21,4.8,2026-05-31
ID-0005,month,causa apud truculenter,98440.22,2.57,2021-01-11
ID-0006,week,accusamus vergo angulus,57651.65,-22.6,2023-04-29
ID-0007,month,tricesimus beatae abstergo,13688.56,40.01,2025-03-30
ID-0008,month,pauci sono atque,91441.2,-8.12,2022-04-19
ID-0009,month,adipiscor aspernatur taceo,8279.86,10.32,2021-06-21
ID-0010,week,civitas constans super,29712.17,6.64,2022-11-09
ID-0011,month,video synagoga bestia,3118.31,-23.78,2023-07-28
ID-0012,day,derelinquo patria concido,77091.22,-39.34,2020-06-13
ID-0013,month,deputo sto dapifer,24640.2,31.91,2024-10-18
ID-0014,month,cernuus officia contra,9158.2,41.74,2020-10-26
ID-0015,quarter,decumbo audacia id,87294.59,23.22,2024-11-02
ID-0016,month,stultus ulciscor carus,48942.5,-27.88,2025-12-04
ID-0017,quarter,adflicto sufficio vespillo,18057.53,6.8,2025-06-29
ID-0018,day,subiungo coadunatio vesper,97105.83,44.43,2022-11-05
ID-0019,quarter,tutamen comis tricesimus,3700.76,9.63,2021-05-19
ID-0020,day,aestus subito conforto,72476.68,-43.47,2021-11-22
ID-0021,month,texo comis quidem,88597.78,11.59,2021-05-25
ID-0022,day,usus acer utilis,52893.71,43.91,2024-10-16
ID-0023,quarter,consequatur tenetur cuius,47987.56,12.75,2025-03-30
ID-0024,quarter,tenuis cura curiositas,73758.23,-26.12,2020-08-30
ID-0025,week,cito clibanus canis,4209.31,-48.22,2025-12-05
ID-0026,week,credo spoliatio blanditiis,94996.12,28.64,2020-07-14
ID-0027,week,utroque vinco deleo,61341.14,-33.3,2025-12-12
ID-0028,day,vilitas sodalitas pecus,51268.85,-26.94,2021-01-21
ID-0029,day,audentia tergum consectetur,5784.26,46.91,2025-04-21
ID-0030,quarter,vulgus atavus crustulum,75823.85,19.6,2020-12-03
ID-0031,quarter,caelestis caecus fuga,59293.99,8.01,2020-07-19
ID-0032,quarter,cena aperio valeo,95565.15,36.22,2024-11-09
ID-0033,month,ipsa aiunt cunabula,37268.85,-24.03,2024-05-04
ID-0034,week,aggero bonus statua,7613.08,35.12,2022-12-21
ID-0035,week,omnis tredecim conqueror,67801.62,6.57,2021-08-08
ID-0036,quarter,thema solus ullam,86729.42,20.84,2025-01-08
ID-0037,month,sponte quae tantum,15860.51,38.09,2025-03-26
ID-0038,day,tremo aperiam conculco,74350.83,-33.93,2024-11-27
ID-0039,quarter,dignissimos absconditus cito,61692.69,48.12,2023-10-16
ID-0040,week,reiciendis harum termes,10698.06,26.11,2023-04-01
ID-0041,quarter,congregatio ratione vicissitudo,10250.97,43.73,2024-02-16
ID-0042,day,coerceo suggero aegre,58217.05,-15.41,2023-09-23
ID-0043,day,ut voluptate volo,74965.19,-37,2024-07-20
ID-0044,day,acerbitas commodo deporto,77040.74,18.33,2022-09-04
ID-0045,week,vulpes cursim defendo,16362.38,29.48,2024-02-29
ID-0046,day,agnitio sponte solium,27325.95,45.09,2020-11-27
ID-0047,week,villa curia reprehenderit,39759.44,-22.58,2025-11-26
ID-0048,week,varius calculus benevolentia,3113.4,15.17,2022-03-18
ID-0049,quarter,demergo volo audax,86862.32,27.66,2024-08-16
ID-0050,quarter,temptatio quidem apostolus,3252.61,42.09,2023-09-13
ID-0051,quarter,dens angulus antea,68556.53,-6.97,2021-03-15
ID-0052,week,advoco non censura,79755.91,-18.97,2022-09-24
ID-0053,day,aequus crudelis denego,60002.06,-20.84,2024-03-03
ID-0054,quarter,termes adflicto denique,10493.01,-25.8,2025-12-02
ID-0055,day,deserunt quae subvenio,55964.87,-49.03,2021-12-16
ID-0056,month,alias consequatur ademptio,7857.85,-10.31,2020-10-17
ID-0057,month,strenuus thesaurus aveho,16748.25,-39.55,2023-10-27
ID-0058,month,addo video admoneo,54129.63,20.91,2025-03-24
ID-0059,month,thesis conforto tot,8011.48,39.49,2023-04-15
ID-0060,quarter,defero sed est,73158.95,-41.84,2020-05-12
