id,period,metric_name,value,variance_pct,computed_at
ID-0001,week,close_cycle_days,120,0,2026-04-30
ID-0002,month,auto_certified_accounts,137,0,2026-04-30
ID-0003,quarter,reconciliation_exception_rate,154,0,2026-04-30
ID-0004,week,working_capital_forecast_accuracy,171,0,2026-04-30
ID-0005,quarter,surgo placeat cura,93272.85,36.61,2020-04-09
ID-0006,day,cotidie tollo votum,15041.69,9.41,2022-04-14
ID-0007,quarter,turbo tum delicate,41481.95,-22.66,2020-05-03
ID-0008,quarter,torqueo xiphias vulnus,55543.17,26.9,2025-09-01
ID-0009,quarter,carmen defendo aperio,95405.11,10.62,2021-05-16
ID-0010,month,quae contabesco amplitudo,67157.32,2.03,2024-08-19
ID-0011,month,ulterius ipsam laudantium,87665.36,-9.65,2020-10-20
ID-0012,day,temeritas quam succurro,21296.41,-36.37,2020-02-01
ID-0013,week,officia cruciamentum debitis,90415.87,-15.18,2023-01-31
ID-0014,quarter,crux quasi unus,94952.07,-35.3,2025-07-24
ID-0015,week,causa degenero vomer,49261.81,-17.13,2023-10-20
ID-0016,day,aestivus aperiam antiquus,15190.27,-36.12,2023-11-05
ID-0017,day,coniuratio vel demitto,66755.78,-32.77,2021-02-25
ID-0018,day,asporto cibo atqui,8870.25,-37.94,2022-10-07
ID-0019,day,convoco desolo strues,3931.21,29.94,2023-10-08
ID-0020,day,uterque verumtamen aduro,27687.76,30.62,2024-06-28
ID-0021,day,bellum correptius deorsum,61825.48,-13.11,2022-10-10
ID-0022,month,adfectus casus summisse,89520.69,1.17,2023-03-12
ID-0023,day,dedecor expedita carcer,26924.32,-12.27,2020-02-13
ID-0024,week,beneficium complectus animadverto,89052.73,9.36,2024-01-28
ID-0025,quarter,deripio aiunt fuga,58684.11,24.55,2022-08-04
ID-0026,day,ciminatio conventus sint,57077.83,-14.39,2025-12-02
ID-0027,month,capillus ambitus argumentum,24595.77,-33.94,2021-02-12
ID-0028,week,atavus vel aggero,52451.14,-8.96,2025-11-23
ID-0029,day,cubicularis volubilis uredo,81707.21,-24.21,2021-01-09
ID-0030,month,vetus iusto mollitia,27997.91,26.95,2021-02-13
ID-0031,week,cursim distinctio carcer,11483.68,11.06,2021-09-24
ID-0032,month,arma denique expedita,5182.35,-16.34,2020-10-21
ID-0033,day,vox commodi tollo,25464.06,18.15,2024-07-24
ID-0034,month,demens cupiditas conscendo,92952.92,33.07,2025-10-16
ID-0035,day,suus vigilo attonbitus,6649.62,24.11,2023-06-13
ID-0036,quarter,apud theatrum baiulus,16365.59,-33.58,2024-11-20
ID-0037,month,eos contego utpote,39244.51,31.66,2022-08-20
ID-0038,week,delectatio cogito tametsi,50272.04,-26.78,2025-05-25
ID-0039,week,illum ventus quia,11689.8,43.99,2023-10-07
ID-0040,week,apud thalassinus quam,53346.11,39.39,2024-09-24
ID-0041,day,color carpo tam,3353.24,6.99,2024-07-29
ID-0042,quarter,congregatio trado amor,84645.23,-37.25,2022-05-20
ID-0043,quarter,architecto calculus suppono,72003.66,14.12,2024-03-01
ID-0044,month,caste coniuratio attonbitus,90845.06,8.34,2022-05-28
ID-0045,week,vinitor arguo occaecati,50588.87,11.15,2020-02-09
ID-0046,quarter,vicissitudo maiores subito,92249.94,20.73,2020-11-30
ID-0047,month,pectus curriculum tabgo,93436.71,42.56,2022-09-15
ID-0048,day,vorax tumultus ante,92084.19,36.99,2023-02-11
ID-0049,month,cubitum adopto conculco,80285.35,-49.54,2022-01-01
ID-0050,week,fuga verto coniuratio,34695.32,23.75,2022-09-18
ID-0051,day,defero aqua atqui,49836.78,-8.11,2025-06-28
ID-0052,week,nobis ratione abutor,66353.74,-32.2,2025-10-07
ID-0053,day,cuppedia ait vulnus,50219.5,9.54,2020-05-27
ID-0054,month,bellum velociter bardus,19068.77,-46.35,2022-10-31
ID-0055,month,aedificium terga defessus,52439.03,-5.92,2022-05-28
ID-0056,month,armarium attonbitus universe,94611.55,-12.67,2021-08-16
ID-0057,month,cunabula acies armarium,71597.23,15.89,2020-02-29
ID-0058,day,callide spectaculum accusantium,10410.85,29.99,2021-01-26
ID-0059,month,capio alveus carcer,72226.7,35.57,2024-12-24
ID-0060,week,sordeo bardus clarus,89633.59,-48.7,2020-07-06
