id,posting_date,account,amount,currency,description,status
ID-0001,2020-03-28,2000-AP,-29245.91,USD,Delibero deleniti temporibus arma depono curtus patria xiphias tenus cubicularis.,pending
ID-0002,2021-01-09,1000-Cash,-29555.17,EUR,Possimus verbum dolore desino admitto adeo ipsa.,posted
ID-0003,2025-01-13,1000-Cash,-47502.84,EUR,Admiratio surculus amoveo pecus.,posted
ID-0004,2021-01-15,2100-AR,30144.58,EUR,Antea ter capillus spiculum maxime vetus crepusculum aeger accusantium.,pending
ID-0005,2023-02-24,4000-Expense,-26557.44,EUR,Vito sordeo victoria.,posted
ID-0006,2023-09-02,4000-Expense,-18245.03,GBP,Vado tactus chirographum cilicium vix abstergo sumptus suffoco qui vulariter.,posted
ID-0007,2022-01-15,1000-Cash,-5720.19,USD,Trucido videlicet audax corroboro vestrum.,posted
ID-0008,2020-07-21,1000-Cash,9521.28,USD,Dedecor desipio caritas deludo somniculosus tantillus tego nesciunt ventito totidem.,posted
ID-0009,2020-05-01,1000-Cash,-28755.28,EUR,Culpa vado vehemens verbera combibo studio.,posted
ID-0010,2021-02-21,2000-AP,-15789.24,EUR,Animadverto tabesco excepturi civis depromo coepi patior damno asper.,posted
ID-0011,2023-04-13,5000-COGS,-15604.23,GBP,Vicinus trado minima solum velociter cubo compello abstergo.,pending
ID-0012,2024-10-21,1000-Cash,7685.74,EUR,Vomer bestia aegre.,posted
ID-0013,2024-06-07,1000-Cash,15871.77,EUR,At minus clibanus.,pending
ID-0014,2024-11-29,5000-COGS,-24032.92,GBP,Conqueror admitto admoveo stultus defungo calamitas.,posted
ID-0015,2021-07-08,3000-Revenue,-14079.13,GBP,Demoror consequatur conventus tibi complectus bellicus ago deleo dens.,pending
ID-0016,2021-04-29,2100-AR,30840.58,GBP,Degenero cognatus vicissitudo angustus victoria stella.,posted
ID-0017,2020-03-12,2100-AR,-9225.19,USD,Volup libero sumo aegrotatio cura angelus placeat vigilo.,posted
ID-0018,2020-06-17,2100-AR,5066.34,EUR,Torrens perspiciatis corrumpo cattus amiculum conspergo cupiditate spes solus.,posted
ID-0019,2022-05-16,2000-AP,-34318.73,GBP,Curatio asporto utroque.,posted
ID-0020,2021-05-22,3000-Revenue,23148.64,GBP,Valde victus veritatis rem.,posted
ID-0021,2022-06-02,4000-Expense,3129.4,GBP,Suus tredecim arca triumphus harum tutamen.,posted
ID-0022,2022-04-10,5000-COGS,-24883.08,GBP,Doloribus colligo nam communis adflicto cernuus.,posted
