id,period,metric_name,value,variance_pct,computed_at
ID-0001,week,close_cycle_days,110.16,-8.2,2026-05-24
ID-0002,month,auto_certified_accounts,139.05,1.5,2026-05-25
ID-0003,quarter,reconciliation_exception_rate,164.63,6.9,2026-05-26
ID-0004,week,working_capital_forecast_accuracy,195.62,14.4,2026-05-27
ID-0005,quarter,eligendi voluptatibus antea,1694.76,27.02,2024-11-04
ID-0006,day,cena accommodo claudeo,77314.19,1.8,2022-02-02
ID-0007,week,ab coepi sint,97419.45,34.71,2020-02-21
ID-0008,quarter,terra termes defungo,39800.53,-19.71,2020-05-24
ID-0009,day,caritas denuo tametsi,47380.98,-44.22,2025-09-30
ID-0010,quarter,territo vulgaris illum,96276.84,-42.44,2022-03-12
ID-0011,day,autus aqua quasi,78132.19,7.83,2020-11-18
ID-0012,quarter,repellat cresco sperno,25990.5,-15.48,2025-07-04
ID-0013,week,delinquo validus suggero,6220.32,-35.27,2020-01-18
ID-0014,month,dedico appono vita,52965.97,-25.81,2023-01-02
ID-0015,month,aestus cervus timor,45966.49,4.66,2022-08-06
ID-0016,day,asperiores decumbo bellicus,4997.9,34.37,2025-11-20
ID-0017,quarter,ultio carbo vitium,19692.57,45.15,2025-12-20
ID-0018,month,vomica modi caveo,43699.59,9.36,2020-06-09
ID-0019,month,vomica auditor textor,90789.88,44.37,2025-10-05
ID-0020,month,voluptatum templum arx,47690.01,21.84,2021-06-26
ID-0021,month,sophismata ascisco maiores,77162.69,-0.11,2020-01-27
ID-0022,day,consuasor vester calco,63436.37,-27.8,2021-12-06
ID-0023,quarter,suspendo allatus curto,2916.97,-1.91,2023-12-23
ID-0024,day,civitas cubicularis verto,99325.51,-45.51,2024-07-26
ID-0025,week,crudelis tego versus,95092.86,7.71,2022-02-21
ID-0026,quarter,casso magni contego,65663.11,-25.96,2021-02-23
ID-0027,quarter,ambitus dicta bos,3892.99,-46.4,2021-01-19
ID-0028,quarter,cimentarius virga non,43661.42,8.01,2023-02-06
ID-0029,quarter,cimentarius conservo varius,94645.66,39.26,2022-07-08
ID-0030,quarter,demonstro deripio bardus,59113.03,-31.39,2021-12-27
