id,period,metric_name,value,variance_pct,computed_at
ID-0001,week,risk_exposure_score,125.76,4.8,2026-05-31
ID-0002,month,control_exception_rate,143.58,4.8,2026-05-31
ID-0003,quarter,close_cycle_days,161.39,4.8,2026-05-31
ID-0004,week,auto_certified_accounts,179.21,4.8,2026-05-31
ID-0005,week,voluptatem cunctatio decretum,57654.5,48.34,2021-06-13
ID-0006,month,sumptus pectus alienus,67687.23,-43.59,2023-07-30
ID-0007,month,bene turba adaugeo,84381.29,-3.97,2021-04-21
ID-0008,day,viriliter aequus avarus,34782.23,12.02,2023-04-09
ID-0009,day,clam capitulus benigne,41114.43,20.41,2021-04-21
ID-0010,week,crinis voluptatibus virtus,80013.76,-25.84,2020-05-29
ID-0011,week,cenaculum dicta tergiversatio,85832.3,34.49,2022-02-27
ID-0012,month,coma adulescens substantia,982.75,-9.08,2021-12-22
ID-0013,month,tener cognomen tondeo,29391.67,-5.37,2024-05-12
ID-0014,month,votum caelestis somniculosus,60968.19,41.51,2020-12-08
ID-0015,quarter,minus cervus demitto,33377.66,7.93,2025-05-02
ID-0016,month,ratione earum admoneo,23285.85,-0.8,2021-11-11
ID-0017,day,desparatus commodi causa,46398.54,-36.68,2025-07-26
ID-0018,quarter,suffragium amissio tergeo,80795.74,26.78,2020-09-06
ID-0019,month,trucido neque sint,45836.35,2.87,2020-03-16
ID-0020,month,aggredior dapifer clarus,54542.8,-36.66,2024-02-25
ID-0021,quarter,ascit amicitia arbustum,87712.76,2.82,2022-10-21
ID-0022,day,sodalitas ustilo tribuo,62605.47,-42.48,2020-09-03
ID-0023,day,causa appositus caveo,38505.8,44.3,2023-08-30
ID-0024,quarter,sulum amplexus tabgo,27509.89,13.91,2022-01-17
ID-0025,quarter,celer cibo via,2464.44,19.67,2024-05-08
ID-0026,quarter,voluptatem voluptates aedificium,82183.94,14.63,2023-11-19
ID-0027,day,sol vomito vere,43913.07,-46.01,2022-03-05
ID-0028,quarter,substantia degenero adsidue,42689.47,-3.1,2025-07-28
ID-0029,month,color esse aedificium,97256.83,-14,2022-11-13
ID-0030,week,statim somniculosus sumo,26814.32,-18.43,2020-10-01
ID-0031,month,adflicto patrocinor ustulo,89083.22,-5.1,2022-10-03
ID-0032,day,speciosus trado caries,42130.09,33.89,2025-04-06
ID-0033,day,ipsa aurum ambitus,91112.05,32.05,2024-07-23
ID-0034,day,turpis debitis conicio,54647.64,-40.87,2024-07-16
ID-0035,month,audentia audio audacia,5700.23,8.78,2025-01-16
ID-0036,day,administratio nam totus,32673.89,-15.04,2023-07-31
ID-0037,week,acquiro tabesco quidem,58075.6,24.17,2024-01-20
ID-0038,day,conservo antea aperio,67619.58,35.86,2025-10-11
ID-0039,month,auctus amiculum torqueo,57875.65,11.83,2024-09-08
ID-0040,month,trucido adstringo tametsi,85085.28,-21.39,2023-11-04
ID-0041,week,vitae ademptio nisi,16650.35,21.22,2021-01-20
ID-0042,day,depulso vergo beneficium,14424,25.9,2023-01-02
ID-0043,quarter,arca sint candidus,15676.04,18.34,2023-07-25
ID-0044,quarter,collum dedico cultura,98408.95,-20.78,2021-10-08
ID-0045,week,maiores casus veritas,26568.55,39.59,2020-08-14
ID-0046,month,venustas asporto volo,45288.34,44.58,2024-01-23
ID-0047,week,audio cognomen aliquam,14386.79,-39.54,2022-07-16
ID-0048,quarter,ara aperte sed,19718.3,-40.24,2020-12-31
ID-0049,quarter,trado considero sollicito,53727.57,17.71,2024-02-05
ID-0050,month,cena adficio defleo,89097.39,6.95,2024-12-29
ID-0051,quarter,ascit stultus sperno,97995.55,48.56,2024-02-14
ID-0052,day,theologus amissio termes,91019.62,-11.72,2023-10-14
ID-0053,week,debitis colo tempus,93617.66,44.08,2021-01-18
ID-0054,quarter,tabula casus aegre,26799.72,41.22,2023-10-19
ID-0055,month,cauda super ad,37532.13,12.68,2020-11-16
ID-0056,quarter,canonicus solio cultellus,59604.36,-39.26,2020-02-07
ID-0057,quarter,centum totus xiphias,21143.12,-23.49,2023-12-23
ID-0058,quarter,veritas desolo theatrum,13574.58,47.75,2025-10-14
ID-0059,day,coepi amaritudo cernuus,81595.58,-12.17,2020-07-12
ID-0060,week,vomica quod cupressus,16653.85,48.62,2024-12-04
