id,period,metric_name,value,variance_pct,computed_at
ID-0001,week,risk_exposure_score,120,0,2026-04-30
ID-0002,month,control_exception_rate,137,0,2026-04-30
ID-0003,quarter,close_cycle_days,154,0,2026-04-30
ID-0004,week,auto_certified_accounts,171,0,2026-04-30
ID-0005,week,ultra conforto ustulo,8813.44,27.68,2025-01-31
ID-0006,day,curtus asperiores suffoco,53534.78,13.53,2021-03-06
ID-0007,day,adhuc comminor laborum,85793.49,16.69,2022-08-12
ID-0008,quarter,super via eum,25890.43,-44.72,2024-05-10
ID-0009,day,cognatus exercitationem magni,60058.32,-33.38,2022-04-12
ID-0010,month,volubilis suscipio vesco,76221.21,9.17,2021-02-24
ID-0011,month,qui pauper depraedor,52865.66,-16.56,2023-02-12
ID-0012,day,tibi audax ago,43624.6,15.83,2022-08-17
ID-0013,week,labore conor vicissitudo,92264.52,0.24,2021-12-19
ID-0014,month,adfectus demo condico,92053.59,-48.8,2023-04-26
ID-0015,month,deorsum ait voluptas,51801.04,11.42,2021-06-02
ID-0016,week,curto aestas amissio,83747.26,-26.02,2021-03-03
ID-0017,month,tenuis aduro neque,11921.04,-46.36,2020-04-25
ID-0018,quarter,angulus adipisci debitis,84399.35,-23.76,2022-07-13
ID-0019,day,deduco nesciunt molestias,33242.67,-18.45,2020-08-21
ID-0020,week,alveus tener voco,97007.45,36.51,2023-08-09
ID-0021,month,cinis quos defleo,48201.73,25.78,2021-09-09
ID-0022,week,vesper adstringo depereo,91280.08,11.04,2023-04-12
ID-0023,day,conicio ulterius laboriosam,51474.22,-40.05,2020-02-05
ID-0024,quarter,cotidie pax ager,68311.43,43.26,2023-06-15
ID-0025,day,non tener cum,87983.78,14.87,2025-05-25
ID-0026,month,apostolus collum baiulus,90882.65,26.04,2024-01-22
ID-0027,week,auctus temperantia demitto,22578.95,11.66,2020-03-29
ID-0028,week,delicate arceo vorax,20909.73,-36.97,2021-03-22
ID-0029,quarter,cursim maiores accusator,3443.13,-5.42,2024-11-25
ID-0030,quarter,aiunt fugiat vereor,38797.27,32.96,2020-10-20
ID-0031,quarter,tantillus vilis spes,36340.39,43.82,2021-08-27
ID-0032,week,substantia teneo vetus,20480.24,29.8,2024-06-06
ID-0033,day,crepusculum cimentarius cogo,98294.69,14.28,2024-04-22
ID-0034,quarter,cotidie thorax dapifer,86953.37,-31.94,2025-09-08
ID-0035,day,comparo temperantia cruentus,60821.14,-5.54,2024-06-15
ID-0036,day,adsum coepi demitto,16802,-14.52,2022-05-26
ID-0037,day,nostrum vado argentum,59780.8,16.48,2022-07-08
ID-0038,month,cunctatio despecto absens,69172.01,16.14,2020-03-25
ID-0039,week,volva curiositas desipio,90993.02,21.73,2023-06-29
ID-0040,quarter,urbs defluo demo,38605.09,46.68,2024-03-08
ID-0041,day,urbanus denique aegrotatio,54971.73,-8.28,2025-04-08
ID-0042,day,trepide labore adopto,97184.53,1.26,2021-09-29
ID-0043,week,umquam cogo aurum,12907.12,-20.22,2024-09-05
ID-0044,week,calcar aspernatur concedo,93992.44,-15.7,2025-12-05
ID-0045,week,atrox vallum degero,70967.14,48.38,2020-04-19
ID-0046,day,suppellex cilicium audacia,3936.18,-47.82,2024-08-24
ID-0047,day,delibero pecto cursus,2710.66,28.35,2020-01-24
ID-0048,quarter,varietas damnatio facilis,47698.34,-11.08,2025-04-29
ID-0049,quarter,condico possimus vester,96205.85,0.9,2022-09-19
ID-0050,week,vitae aranea nisi,28255.02,-22.1,2022-06-06
ID-0051,quarter,adopto nesciunt agnitio,15452.08,-6.04,2023-01-23
ID-0052,week,comes aiunt cognatus,96655.85,44.48,2022-01-04
ID-0053,month,verbera absconditus tollo,94836.96,-40.87,2020-12-19
ID-0054,quarter,fugiat accedo causa,44994.37,19.29,2024-05-26
ID-0055,quarter,civis fugiat expedita,40564.53,-33.09,2025-11-12
ID-0056,quarter,deripio pax calcar,54378.71,19.5,2023-02-03
ID-0057,quarter,perferendis correptius ter,17046.25,-11.55,2022-01-30
ID-0058,week,terminatio denuo thalassinus,57648.89,-15.79,2024-11-10
ID-0059,day,caelestis desparatus cavus,908.7,14.83,2023-01-25
ID-0060,week,volaticus molestias urbanus,13945.02,6.92,2025-03-17
