id,period,metric_name,value,variance_pct,computed_at
ID-0001,week,close_cycle_days,125.76,4.8,2026-05-31
ID-0002,month,auto_certified_accounts,143.58,4.8,2026-05-31
ID-0003,quarter,reconciliation_exception_rate,161.39,4.8,2026-05-31
ID-0004,week,working_capital_forecast_accuracy,179.21,4.8,2026-05-31
ID-0005,quarter,compello conspergo dicta,94112.09,37.64,2020-08-12
ID-0006,week,ipsum desolo aut,85881.68,17.7,2025-01-10
ID-0007,quarter,tamisium decens pel,16036.54,17.37,2021-01-27
ID-0008,month,calculus angulus asperiores,199.21,21.88,2024-05-24
ID-0009,month,arx agnosco accusantium,16574.81,39.09,2021-06-13
ID-0010,week,amiculum cado earum,60775.27,-25.47,2020-05-06
ID-0011,week,canis bonus vitiosus,61630.05,5.69,2022-06-30
ID-0012,week,hic subito subvenio,17169.39,0.01,2022-06-22
ID-0013,quarter,quos exercitationem ancilla,60563.79,-38.28,2022-01-09
ID-0014,day,stultus beatae cruciamentum,89567.48,-29.57,2023-01-18
ID-0015,week,accusamus textor aegrotatio,47425.5,6.07,2023-10-09
ID-0016,month,catena absque supra,53565.66,33.62,2024-12-05
ID-0017,quarter,deorsum concido textilis,45129.41,-31.66,2025-02-17
ID-0018,quarter,deleniti aestivus cresco,80353.77,40.18,2021-03-22
ID-0019,day,utpote cribro id,96806.59,-43.35,2023-11-22
ID-0020,day,coruscus thymum damno,99718.24,5.91,2021-12-04
ID-0021,day,consequatur corroboro aegrotatio,36957.42,-3.58,2024-05-03
ID-0022,month,sui absorbeo blandior,66168.43,-1.6,2020-01-12
ID-0023,quarter,terebro infit aeger,76651.51,8.37,2024-09-10
ID-0024,quarter,thymbra eaque aqua,67115.75,12.05,2024-06-15
ID-0025,day,autem validus tandem,90822.85,25.87,2023-08-01
ID-0026,month,valetudo nihil ratione,15647.67,-2.61,2024-04-19
ID-0027,week,balbus combibo carbo,21491.26,-7.52,2025-06-12
ID-0028,month,audeo aestus subito,38279.88,32.19,2023-12-16
ID-0029,quarter,cernuus stultus celer,93906.85,13.64,2021-12-12
ID-0030,week,aufero suasoria blanditiis,59530.33,-23.54,2023-12-22
ID-0031,quarter,tergo temptatio audeo,8838.49,19.9,2022-03-18
ID-0032,week,addo caveo ademptio,87918.58,-25.66,2023-05-06
ID-0033,day,sopor commodi velociter,88811.82,-17.47,2025-05-28
ID-0034,quarter,tremo tutis carpo,57670.24,-43.28,2020-07-27
ID-0035,quarter,compello tamisium timidus,85802.33,49.77,2021-06-13
ID-0036,day,cunctatio aperio acerbitas,36042.68,28.38,2023-05-26
ID-0037,week,solium campana accedo,76435.34,12.38,2024-07-28
ID-0038,day,tui quaerat magnam,62461.41,36.45,2023-07-10
ID-0039,month,vulariter temperantia decimus,70739.7,-11.08,2021-05-16
ID-0040,month,vestrum vetus congregatio,52767.75,-28.84,2025-12-22
ID-0041,quarter,sodalitas thymum sumo,59315.82,-44.67,2022-09-23
ID-0042,month,spiculum corroboro vilis,16735.7,0.04,2024-02-23
ID-0043,month,socius cetera aro,63594.03,9.93,2021-01-28
ID-0044,month,deficio sordeo tui,16972.84,-48.09,2024-09-03
ID-0045,month,subnecto tum thymbra,96092.02,3.59,2022-12-06
ID-0046,week,arguo nam charisma,92130.76,8.32,2023-07-23
ID-0047,week,admoneo addo curo,8456.53,10.69,2025-04-15
ID-0048,quarter,soluta beneficium urbanus,88609.35,-30.34,2024-06-04
ID-0049,week,thorax vulpes adamo,89736.59,12.26,2025-11-03
ID-0050,week,uberrime advenio conculco,6701.65,47.54,2024-11-25
ID-0051,quarter,vigilo ait creptio,7103.48,-28.92,2021-05-17
ID-0052,week,censura amaritudo aspicio,14727.55,47.31,2024-07-22
ID-0053,quarter,decerno cibo theologus,32625.39,-20.06,2021-05-24
ID-0054,day,cauda conspergo sperno,6256.48,-28.95,2024-11-08
ID-0055,day,conicio urbs arma,8273.68,-1.55,2021-10-24
ID-0056,month,thymum apto nobis,50550.88,-35.6,2023-09-29
ID-0057,week,depopulo agnitio degero,30646.34,32.24,2020-05-04
ID-0058,week,defungo surgo natus,66721.24,27.71,2025-03-04
ID-0059,week,fugiat tunc vox,88951.93,-12.85,2021-03-03
ID-0060,week,talio depromo denuncio,83823.05,-13.86,2025-02-27
