id,period,metric_name,value,variance_pct,computed_at
ID-0001,week,close_cycle_days,110.16,-8.2,2026-05-24
ID-0002,month,auto_certified_accounts,139.05,1.5,2026-05-25
ID-0003,quarter,reconciliation_exception_rate,164.63,6.9,2026-05-26
ID-0004,week,working_capital_forecast_accuracy,195.62,14.4,2026-05-27
ID-0005,week,thema corona aiunt,55678.49,34.52,2024-10-10
ID-0006,day,speculum bos blandior,87407.18,-25.04,2021-07-31
ID-0007,day,usus textor quis,75026.58,-34.8,2022-10-01
ID-0008,week,aliquid depereo verumtamen,4005.91,-20.86,2021-03-30
ID-0009,day,ver delibero deleniti,76057.57,-34.55,2022-12-04
ID-0010,week,patria xiphias tenus,39786.57,32.76,2021-01-09
ID-0011,day,bardus confugo dolorem,61512.92,41.06,2023-01-22
ID-0012,month,admitto adeo ipsa,43817.86,33.92,2020-12-18
ID-0013,day,deduco capio admiratio,72459.83,-38.84,2023-08-26
ID-0014,week,atavus crastinus thesis,39209.36,25.08,2020-10-02
ID-0015,quarter,capillus spiculum maxime,92914.48,-11.27,2020-05-25
ID-0016,day,tres esse terga,23442.56,-15.49,2020-03-06
ID-0017,quarter,sordeo victoria cena,61146.36,17.85,2021-11-27
ID-0018,quarter,vinitor vado tactus,27746.47,-21.84,2025-10-12
ID-0019,day,sumptus suffoco qui,99010.89,-18.81,2022-01-15
ID-0020,day,decipio cavus coniecto,83457.18,43.55,2021-02-11
ID-0021,week,vestrum aduro aliquam,16279.1,9.52,2020-11-25
ID-0022,quarter,dedecor desipio caritas,47096.02,16.19,2024-07-04
ID-0023,quarter,nesciunt ventito totidem,75704.81,-44.44,2020-01-16
ID-0024,day,somnus cunctatio culpa,88458.69,39.56,2025-06-15
ID-0025,week,studio cernuus aufero,18463.24,-15.79,2022-07-31
ID-0026,quarter,animadverto tabesco excepturi,28794.53,-0.72,2021-10-19
ID-0027,month,damno asper angelus,54669.57,40.25,2022-01-23
ID-0028,month,soluta vicinus trado,56660.53,15.7,2025-05-23
ID-0029,week,compello abstergo trepide,80098.07,-39.56,2023-06-18
ID-0030,week,angustus vomer bestia,6723.41,9.49,2024-06-07
ID-0031,day,soluta exercitationem amet,17252.38,6.8,2021-10-11
ID-0032,quarter,toties vorago caveo,96972.37,-6.88,2022-01-31
ID-0033,day,admoveo stultus defungo,22652.16,11.4,2021-07-08
ID-0034,month,contego trans tracto,47735.04,-14.92,2022-03-05
ID-0035,quarter,complectus bellicus ago,46669.31,-1.79,2025-01-17
ID-0036,day,creator titulus trans,38461.11,-4.09,2021-10-26
ID-0037,quarter,angustus victoria stella,53157.22,-46.74,2022-11-08
ID-0038,week,arx sollicito volup,56218.88,21.48,2020-05-30
ID-0039,week,angelus placeat vigilo,66177.77,-42.32,2022-02-16
ID-0040,month,culpa triumphus torrens,61183.1,-12.66,2021-07-13
ID-0041,day,conspergo cupiditate spes,65815.98,-42.99,2022-05-16
ID-0042,day,aro tres adhuc,41918.29,-33.18,2025-04-11
ID-0043,month,campana desipio suus,95811.81,-27.96,2025-04-26
ID-0044,quarter,veritatis rem quod,40321.06,25.24,2023-03-10
ID-0045,month,curto suus tredecim,14643.62,33.3,2023-03-30
ID-0046,quarter,curvo cras veritas,25116.92,34.42,2022-11-26
ID-0047,month,colligo nam communis,3926.94,-22.8,2020-01-14
ID-0048,quarter,vociferor crur suscipit,34580.61,17.11,2024-10-31
ID-0049,quarter,cubo terra cena,99033.24,-47.43,2023-08-15
ID-0050,month,sto animi vigilo,18118.32,12.28,2021-05-03
ID-0051,week,in cur arto,17093.64,-8.19,2024-07-17
ID-0052,quarter,ago crudelis amaritudo,1659.24,16.17,2023-08-13
ID-0053,day,canis acervus truculenter,97469.06,-36.46,2021-05-22
ID-0054,quarter,vester curia admitto,3939.18,7.4,2022-05-11
ID-0055,day,nostrum absum tersus,30643.28,-45.98,2023-07-13
ID-0056,week,voluptate illum cervus,70943.89,-22.85,2025-06-05
ID-0057,week,inventore admitto cursim,83236.36,30.57,2021-05-06
ID-0058,day,totidem via allatus,45005.86,-16.26,2025-03-23
ID-0059,day,bene tantum admoneo,49253.54,-5.79,2022-01-03
ID-0060,week,ex arx mollitia,80543.24,26.02,2020-12-03
