id,period,metric_name,value,variance_pct,computed_at
ID-0001,week,close_cycle_days,125.76,4.8,2026-05-31
ID-0002,month,auto_certified_accounts,143.58,4.8,2026-05-31
ID-0003,quarter,reconciliation_exception_rate,161.39,4.8,2026-05-31
ID-0004,week,working_capital_forecast_accuracy,179.21,4.8,2026-05-31
ID-0005,month,temeritas collum dedico,40547.17,48.41,2021-10-02
ID-0006,week,conspergo maiores casus,91529,-23.43,2025-05-17
ID-0007,day,sollicito venustas asporto,96832.7,-4.71,2025-09-04
ID-0008,month,cogito audio cognomen,9301.74,-35.62,2020-08-17
ID-0009,week,theatrum ara aperte,64342.9,-30.28,2020-08-01
ID-0010,day,vesica trado considero,65582.08,3.73,2024-01-24
ID-0011,month,quo cena adficio,45556.68,39.1,2023-06-02
ID-0012,quarter,vulgaris ascit stultus,67429.36,48,2025-11-30
ID-0013,month,careo theologus amissio,78069.93,41.02,2022-04-19
ID-0014,month,curtus debitis colo,76212.96,43.62,2025-08-24
ID-0015,day,utilis tabula casus,6728.46,-23.2,2025-06-22
ID-0016,month,supplanto cauda super,2812.15,-12.47,2023-10-05
ID-0017,day,trans canonicus solio,40519.71,9.61,2020-08-23
ID-0018,day,verbera centum totus,99935.04,-28.86,2021-08-04
ID-0019,month,vociferor veritas desolo,79511.03,-36.43,2025-11-12
ID-0020,quarter,ascit coepi amaritudo,27171.76,31.6,2022-04-09
ID-0021,day,congregatio vomica quod,41616.09,-33.35,2025-12-01
ID-0022,quarter,cilicium aegrus adstringo,12037.81,8.08,2025-07-28
ID-0023,week,turpis decumbo suggero,73187.28,-32.61,2022-03-02
ID-0024,month,aeneus conturbo facere,99622.45,-2.55,2024-11-23
ID-0025,week,theca pariatur valde,41094.25,10.43,2023-10-13
ID-0026,week,arbor aliquid acceptus,87353.43,-26.36,2021-04-08
ID-0027,month,comitatus dicta ascisco,95974.58,35.16,2025-03-08
ID-0028,week,tempus arbitro absorbeo,1997.29,8.66,2022-09-25
ID-0029,month,absens curo supellex,44269.37,23.22,2021-05-25
ID-0030,quarter,odio bene capillus,62803.05,33,2022-06-30
ID-0031,week,usque sortitus dedico,48790.02,-29.58,2023-10-05
ID-0032,week,vulnero denego depereo,56585.18,41.68,2024-10-21
ID-0033,week,supellex occaecati deprimo,19231.57,-3.61,2021-06-22
ID-0034,quarter,condico viridis expedita,63154.44,4.29,2020-10-10
ID-0035,week,alveus qui dedecor,77798.5,-27.96,2020-12-26
ID-0036,week,vester sulum curatio,51727.22,-41.58,2025-11-28
ID-0037,month,circumvenio occaecati amo,96583.67,-32.52,2023-11-21
ID-0038,day,sunt tergiversatio speculum,61449.95,39.25,2020-06-21
ID-0039,week,carpo voveo cribro,73261.27,18.47,2021-04-09
ID-0040,day,cilicium cunctatio canonicus,1965.14,37.94,2025-10-17
ID-0041,week,confido absens sponte,82543.99,-35.34,2020-12-15
ID-0042,quarter,praesentium adinventitias quasi,30891.77,-13.13,2024-08-14
ID-0043,quarter,cubo vinitor cum,77183.61,-1.61,2025-05-21
ID-0044,quarter,alias video tremo,79131.07,-29.91,2024-10-30
ID-0045,quarter,civitas viridis admiratio,14990.92,3.76,2023-06-16
ID-0046,month,acceptus vitium adinventitias,14306.19,-48.6,2023-05-27
ID-0047,quarter,sophismata traho abutor,54201.53,-4.04,2022-12-29
ID-0048,day,stella desolo teneo,48529.06,-35.07,2023-11-21
ID-0049,day,uter placeat ars,96233.81,1.84,2020-06-08
ID-0050,month,casus thymbra toties,97894.74,0.19,2022-09-24
ID-0051,quarter,apparatus incidunt in,8947.31,-8.2,2025-02-13
ID-0052,quarter,alveus alioqui celebrer,87476.61,-37.11,2024-04-27
ID-0053,day,qui constans testimonium,23369.04,13.92,2021-05-31
ID-0054,month,uterque antepono usitas,59357.53,-37.29,2022-07-26
ID-0055,day,subseco tempore amiculum,50613.99,31.47,2025-08-14
ID-0056,month,virga facilis cruentus,84820.32,-0.7,2022-10-31
ID-0057,week,tyrannus tristis culpo,33329.98,-0.81,2023-06-09
ID-0058,day,thalassinus depereo concido,10682.1,-26.12,2025-09-11
ID-0059,week,asporto degusto cohibeo,3515.92,-17.69,2023-04-07
ID-0060,month,consuasor dedecor vociferor,37734.85,-24.18,2021-06-17
