id,period,metric_name,value,variance_pct,computed_at
ID-0001,week,close_cycle_days,120,0,2026-04-30
ID-0002,month,auto_certified_accounts,137,0,2026-04-30
ID-0003,quarter,reconciliation_exception_rate,154,0,2026-04-30
ID-0004,week,working_capital_forecast_accuracy,171,0,2026-04-30
ID-0005,quarter,demens calcar aspernatur,33272.95,44,2022-01-21
ID-0006,quarter,deorsum atrox vallum,46035.54,20.97,2025-11-26
ID-0007,day,alo suppellex cilicium,18430.14,-46.07,2020-02-17
ID-0008,quarter,appono delibero pecto,42835.18,-47.29,2024-09-13
ID-0009,day,tempus varietas damnatio,53554.25,-2.3,2022-05-03
ID-0010,quarter,varius condico possimus,92690.76,46.21,2023-01-20
ID-0011,week,cibo vitae aranea,57982.96,-21.75,2021-09-03
ID-0012,week,vulticulus adopto nesciunt,8257.21,-34.55,2022-08-21
ID-0013,month,caute comes aiunt,30321.98,46.66,2025-09-01
ID-0014,week,molestias verbera absconditus,81068.36,44.84,2020-07-19
ID-0015,day,vitium fugiat accedo,25763.2,-5.01,2024-02-27
ID-0016,month,vulnero civis fugiat,53332.36,-9.44,2021-01-05
ID-0017,quarter,ultio deripio pax,22726.1,4.38,2024-03-03
ID-0018,month,vulariter perferendis correptius,77215.21,-32.96,2022-04-22
ID-0019,week,custodia terminatio denuo,79401.45,7.65,2022-01-19
ID-0020,quarter,capitulus caelestis desparatus,26084.92,-49.1,2023-11-22
ID-0021,month,decumbo volaticus molestias,86343.16,-36.06,2023-06-01
ID-0022,quarter,nostrum supellex corrigo,9244.95,-4.21,2022-05-14
ID-0023,quarter,careo voco vitae,24763.16,-15.2,2025-05-17
ID-0024,quarter,decipio commemoro est,68776.92,-22.65,2024-06-02
ID-0025,day,admiratio creptio considero,31563.32,-0.9,2021-12-04
ID-0026,day,collum voluptatem cunctatio,44471.28,7.66,2025-11-25
ID-0027,day,stabilis sumptus pectus,8857.83,17.69,2020-05-20
ID-0028,month,tactus bene turba,3035.38,34.38,2022-10-06
ID-0029,day,appello viriliter aequus,19909.34,-15.22,2023-09-21
ID-0030,month,antea clam capitulus,21354.28,-8.89,2024-03-23
ID-0031,day,cornu crinis voluptatibus,95466.64,30.02,2021-06-13
ID-0032,day,comes cenaculum dicta,77772.79,35.84,2025-01-25
ID-0033,week,stips coma adulescens,70156.53,-49.02,2022-06-15
ID-0034,week,suadeo tener cognomen,81162.7,-20.61,2022-09-05
ID-0035,month,suadeo votum caelestis,66231.79,10.97,2025-06-28
ID-0036,day,tantum minus cervus,47443.49,-16.62,2023-06-23
ID-0037,quarter,modi ratione earum,5116.55,-26.72,2022-12-14
ID-0038,week,attonbitus desparatus commodi,25810.76,-3.6,2020-10-19
ID-0039,quarter,usque suffragium amissio,77587.73,30.8,2024-08-09
ID-0040,day,sequi trucido neque,64640.74,-4.16,2023-03-04
ID-0041,day,repudiandae aggredior dapifer,29265.51,4.54,2020-10-19
ID-0042,month,theatrum ascit amicitia,14551.54,37.72,2023-03-03
ID-0043,week,amissio sodalitas ustilo,82818.59,12.61,2020-06-14
ID-0044,day,admiratio causa appositus,26004.8,-11.5,2025-08-29
ID-0045,month,truculenter sulum amplexus,73592.04,-22.49,2023-11-01
ID-0046,week,vulpes celer cibo,93067.23,-47.54,2024-03-07
ID-0047,month,tubineus voluptatem voluptates,6527.67,32.19,2023-11-17
ID-0048,month,aperiam sol vomito,91181.86,-6.09,2020-03-28
ID-0049,week,trepide substantia degenero,5510.15,-7.31,2022-10-25
ID-0050,quarter,saepe color esse,6605.53,47.26,2022-02-28
ID-0051,week,conspergo statim somniculosus,71532.23,-23.19,2021-11-22
ID-0052,day,sollers adflicto patrocinor,86969.59,39.09,2022-09-11
ID-0053,week,aestus speciosus trado,24465.5,-7.87,2025-01-12
ID-0054,quarter,carcer ipsa aurum,10187.87,41.12,2024-12-03
ID-0055,quarter,administratio turpis debitis,34239.51,4.65,2020-07-19
ID-0056,quarter,non audentia audio,18424.86,-44.3,2023-07-12
ID-0057,quarter,accommodo administratio nam,81949.57,-17.33,2022-02-05
ID-0058,month,certus acquiro tabesco,62564.99,8.08,2024-06-13
ID-0059,month,basium conservo antea,12985.7,17.62,2025-02-25
ID-0060,quarter,quisquam auctus amiculum,81285.1,7.88,2023-09-17
