id,period,metric_name,value,variance_pct,computed_at
ID-0001,week,close_cycle_days,125.76,4.8,2026-05-31
ID-0002,month,auto_certified_accounts,143.58,4.8,2026-05-31
ID-0003,quarter,reconciliation_exception_rate,161.39,4.8,2026-05-31
ID-0004,week,working_capital_forecast_accuracy,179.21,4.8,2026-05-31
ID-0005,month,clamo delicate umquam,30490.31,-30.74,2020-10-09
ID-0006,week,termes demens calcar,16618.5,-16.73,2025-08-22
ID-0007,week,voveo deorsum atrox,89114.01,-3.96,2024-04-04
ID-0008,quarter,admitto alo suppellex,28182.5,-31.57,2020-03-27
ID-0009,day,teres appono delibero,60589.68,-7.17,2020-02-29
ID-0010,quarter,abstergo tempus varietas,43283.99,3.55,2022-11-11
ID-0011,week,valens varius condico,61506.98,42.7,2025-10-09
ID-0012,month,defessus cibo vitae,14281.43,7.98,2021-09-11
ID-0013,week,cultellus vulticulus adopto,57854.18,-41.75,2020-12-04
ID-0014,week,dolore caute comes,8696.7,-19.68,2025-10-19
ID-0015,quarter,conculco molestias verbera,618.38,31.07,2025-09-09
ID-0016,day,arx vitium fugiat,1419.66,-24.24,2022-09-13
ID-0017,month,tabella vulnero civis,53822.01,3.33,2022-06-08
ID-0018,day,voluptatum ultio deripio,60324.54,-27.28,2023-04-06
ID-0019,month,dolorum vulariter perferendis,37097.37,27.22,2021-01-08
ID-0020,week,conor custodia terminatio,48417.3,29.4,2023-06-17
ID-0021,week,tollo capitulus caelestis,50450.29,-23.92,2020-01-20
ID-0022,month,dolorem decumbo volaticus,57119.92,36.35,2020-11-01
ID-0023,month,ustilo nostrum supellex,37204.36,-40.76,2022-09-30
ID-0024,week,usque careo voco,95813.82,-25.24,2022-02-01
ID-0025,quarter,voco decipio commemoro,52609.4,18.78,2021-08-22
ID-0026,month,admoneo admiratio creptio,35347.32,-18.44,2022-12-12
ID-0027,week,aurum collum voluptatem,41111.34,-5.53,2023-06-17
ID-0028,quarter,carbo stabilis sumptus,60732.44,-41.15,2024-01-23
ID-0029,day,patior tactus bene,84162.2,-46.97,2025-01-23
ID-0030,week,blandior appello viriliter,7266.55,-30.09,2022-02-01
ID-0031,month,impedit antea clam,23875.17,-28.65,2022-06-20
ID-0032,month,blandior cornu crinis,97645.66,45.47,2024-10-19
ID-0033,day,aegre comes cenaculum,50592.58,27.78,2025-02-24
ID-0034,quarter,contigo stips coma,6090.55,20.16,2020-01-22
ID-0035,week,comprehendo suadeo tener,30409.46,31.17,2021-10-06
ID-0036,week,suscipio suadeo votum,22516.1,16.23,2023-08-29
ID-0037,quarter,aro tantum minus,27466.58,-2.56,2022-01-01
ID-0038,month,valetudo modi ratione,51874.78,-44.89,2021-05-25
ID-0039,week,collum attonbitus desparatus,32280.98,-24.19,2022-10-14
ID-0040,day,vestigium usque suffragium,10621.38,27.59,2024-11-06
ID-0041,quarter,amplitudo sequi trucido,57735.34,14.64,2022-10-01
ID-0042,month,adeo repudiandae aggredior,43501.46,-20.74,2023-04-10
ID-0043,day,studio theatrum ascit,10431.3,-35.45,2025-04-06
ID-0044,month,deleo amissio sodalitas,86799.96,32.82,2023-10-04
ID-0045,day,amplexus admiratio causa,13566.14,-24,2022-04-24
ID-0046,quarter,pel truculenter sulum,11250.31,23.59,2021-08-26
ID-0047,month,confugo vulpes celer,27913.04,43.07,2020-02-24
ID-0048,month,surgo tubineus voluptatem,97560.2,-43.48,2024-12-06
ID-0049,month,sit aperiam sol,98248.26,41.19,2022-08-20
ID-0050,day,conturbo trepide substantia,45934.37,-44.49,2022-07-24
ID-0051,week,vestrum saepe color,52531.83,-43.4,2025-11-01
ID-0052,week,demulceo conspergo statim,66223.22,21.53,2021-08-10
ID-0053,week,antea sollers adflicto,59768.23,36.97,2025-05-06
ID-0054,week,degenero aestus speciosus,82125.95,-25.54,2022-07-12
ID-0055,quarter,utpote carcer ipsa,19249.31,-39.82,2025-06-20
ID-0056,quarter,temporibus administratio turpis,43804.41,-15.76,2023-04-12
ID-0057,day,temperantia non audentia,18823.22,-31.58,2020-05-04
ID-0058,month,tunc accommodo administratio,57277.03,31.95,2021-12-17
ID-0059,week,patior certus acquiro,73522.85,12.57,2023-06-27
ID-0060,month,spero basium conservo,12611.01,-37.02,2024-01-22
